Time (s)	jump_z_t (m)	Displacement field, Z-component (m)	w-jump_z_t (m)
2.2020	0.12425	0.12425	5.3504E-7
2.2040	0.12490	0.12490	1.0995E-6
2.2060	0.12554	0.12554	2.6460E-7
2.2080	0.12618	0.12618	-2.9686E-8
2.2100	0.12681	0.12681	2.4262E-7
2.2120	0.12743	0.12743	1.1068E-6
2.2140	0.12805	0.12805	6.1814E-7
2.2160	0.12866	0.12866	3.9544E-8
2.2180	0.12926	0.12926	4.7381E-8
2.2200	0.12985	0.12985	6.6594E-7
2.2220	0.13044	0.13044	1.1326E-6
2.2240	0.13102	0.13102	2.4739E-7
2.2260	0.13159	0.13159	-3.2079E-8
2.2280	0.13215	0.13215	3.1742E-7
2.2300	0.13271	0.13271	1.3184E-6
2.2320	0.13326	0.13326	6.0927E-7
2.2340	0.13380	0.13380	2.1233E-8
2.2360	0.13433	0.13433	7.9798E-8
2.2380	0.13486	0.13486	8.0641E-7
2.2400	0.13538	0.13538	1.1388E-6
2.2420	0.13589	0.13589	2.2260E-7
2.2440	0.13639	0.13639	-3.0038E-8
2.2460	0.13688	0.13688	4.0128E-7
2.2480	0.13737	0.13737	1.5361E-6
2.2500	0.13784	0.13784	5.8549E-7
2.2520	0.13831	0.13831	3.0749E-9
2.2540	0.13877	0.13877	1.1987E-7
2.2560	0.13922	0.13922	9.5424E-7
2.2580	0.13967	0.13967	1.1215E-6
2.2600	0.14010	0.14010	1.9247E-7
2.2620	0.14053	0.14053	-2.2774E-8
2.2640	0.14094	0.14094	4.9298E-7
2.2660	0.14135	0.14135	1.7561E-6
2.2680	0.14175	0.14175	5.4955E-7
2.2700	0.14214	0.14214	-1.3438E-8
2.2720	0.14252	0.14252	1.6728E-7
2.2740	0.14290	0.14290	1.1068E-6
2.2760	0.14326	0.14326	1.0838E-6
2.2780	0.14361	0.14361	1.5914E-7
2.2800	0.14396	0.14396	-9.7752E-9
2.2820	0.14429	0.14429	5.9093E-7
2.2840	0.14462	0.14462	1.8025E-6
2.2860	0.14494	0.14494	5.0424E-7
2.2880	0.14525	0.14525	-2.7036E-8
2.2900	0.14554	0.14555	2.2137E-7
2.2920	0.14583	0.14584	1.2612E-6
2.2940	0.14611	0.14612	1.0291E-6
2.2960	0.14638	0.14638	1.2461E-7
2.2980	0.14665	0.14665	9.1641E-9
2.3000	0.14690	0.14690	6.9320E-7
2.3020	0.14714	0.14714	1.7387E-6
2.3040	0.14737	0.14737	4.5221E-7
2.3060	0.14759	0.14759	-3.6702E-8
2.3080	0.14781	0.14781	2.8115E-7
2.3100	0.14801	0.14801	1.4141E-6
2.3120	0.14820	0.14820	9.6071E-7
2.3140	0.14839	0.14839	9.0666E-8
2.3160	0.14856	0.14856	3.3937E-8
2.3180	0.14872	0.14872	7.9748E-7
2.3200	0.14888	0.14888	1.6529E-6
2.3220	0.14902	0.14902	3.9604E-7
2.3240	0.14916	0.14916	-4.1699E-8
2.3260	0.14928	0.14928	3.4530E-7
2.3280	0.14940	0.14940	1.5617E-6
2.3300	0.14950	0.14950	8.8204E-7
2.3320	0.14960	0.14960	5.8862E-8
2.3340	0.14968	0.14968	6.4118E-8
2.3360	0.14976	0.14976	9.0118E-7
2.3380	0.14982	0.14982	1.5491E-6
2.3400	0.14988	0.14988	3.3808E-7
2.3420	0.14992	0.14992	-4.1585E-8
2.3440	0.14996	0.14996	4.1214E-7
2.3460	0.14998	0.14998	1.7004E-6
2.3480	0.15000	0.15000	7.9624E-7
2.3500	0.15000	0.15000	3.0493E-8
2.3520	0.15000	0.15000	9.8959E-8
2.3540	0.14998	0.14998	1.0014E-6
2.3560	0.14996	0.14996	1.4314E-6
2.3580	0.14992	0.14992	2.8048E-7
2.3600	0.14988	0.14987	-3.6227E-8
2.3620	0.14982	0.14982	4.7974E-7
2.3640	0.14976	0.14976	1.8258E-6
2.3660	0.14968	0.14968	7.0632E-7
2.3680	0.14960	0.14960	6.5608E-9
2.3700	0.14950	0.14950	1.3740E-7
2.3720	0.14940	0.14940	1.0950E-6
2.3740	0.14928	0.14928	1.3038E-6
2.3760	0.14916	0.14916	2.2512E-7
2.3780	0.14902	0.14902	-2.5801E-8
2.3800	0.14888	0.14888	5.4585E-7
2.3820	0.14872	0.14873	1.9339E-6
2.3840	0.14856	0.14856	6.1507E-7
2.3860	0.14839	0.14839	-1.2234E-8
2.3880	0.14820	0.14820	1.7810E-7
2.3900	0.14801	0.14801	1.1786E-6
2.3920	0.14781	0.14781	1.1699E-6
2.3940	0.14759	0.14759	1.7358E-7
2.3960	0.14737	0.14737	-1.0795E-8
2.3980	0.14714	0.14714	6.0801E-7
2.4000	0.14690	0.14690	1.8810E-6
2.4020	0.14665	0.14665	5.2500E-7
2.4040	0.14638	0.14638	-2.5505E-8
2.4060	0.14611	0.14611	2.1942E-7
2.4080	0.14583	0.14584	1.2488E-6
2.4100	0.14554	0.14555	1.0333E-6
2.4120	0.14525	0.14525	1.2717E-7
2.4140	0.14494	0.14494	8.0051E-9
2.4160	0.14462	0.14462	6.6354E-7
2.4180	0.14429	0.14430	1.6875E-6
2.4200	0.14396	0.14396	4.3834E-7
2.4220	0.14361	0.14361	-3.3184E-8
2.4240	0.14326	0.14326	2.5949E-7
2.4260	0.14290	0.14290	1.3020E-6
2.4280	0.14252	0.14252	8.9710E-7
2.4300	0.14214	0.14214	8.6826E-8
2.4320	0.14175	0.14175	2.9531E-8
2.4340	0.14135	0.14135	7.0962E-7
2.4360	0.14094	0.14095	1.4905E-6
2.4380	0.14053	0.14053	3.5699E-7
2.4400	0.14010	0.14010	-3.5512E-8
2.4420	0.13967	0.13967	2.9623E-7
2.4440	0.13922	0.13923	1.3346E-6
2.4460	0.13877	0.13877	7.6431E-7
2.4480	0.13831	0.13831	5.3179E-8
2.4500	0.13784	0.13784	5.2454E-8
2.4520	0.13737	0.13737	7.4333E-7
2.4540	0.13688	0.13688	1.2939E-6
2.4560	0.13639	0.13639	2.8249E-7
2.4580	0.13589	0.13589	-3.3033E-8
2.4600	0.13538	0.13538	3.2739E-7
2.4620	0.13486	0.13486	1.3430E-6
2.4640	0.13433	0.13434	6.3746E-7
2.4660	0.13380	0.13380	2.6521E-8
2.4680	0.13326	0.13326	7.5219E-8
2.4700	0.13271	0.13271	7.6172E-7
2.4720	0.13215	0.13215	1.1013E-6
2.4740	0.13159	0.13159	2.1604E-7
2.4760	0.13102	0.13102	-2.6572E-8
2.4780	0.13044	0.13044	3.5060E-7
2.4800	0.12985	0.12985	1.3239E-6
2.4820	0.12926	0.12926	5.1871E-7
2.4840	0.12866	0.12866	6.8125E-9
2.4860	0.12805	0.12805	9.6078E-8
2.4880	0.12743	0.12743	7.6186E-7
2.4900	0.12681	0.12681	9.1608E-7
2.4920	0.12618	0.12618	1.5846E-7
2.4940	0.12554	0.12554	-1.7209E-8
2.4960	0.12490	0.12490	3.6345E-7
2.4980	0.12425	0.12425	1.2741E-6
2.5000	0.12360	0.12360	4.0985E-7
2.5020	0.12293	0.12293	-6.2963E-9
2.5040	0.12227	0.12227	1.1314E-7
2.5060	0.12159	0.12159	7.4094E-7
2.5080	0.12091	0.12091	7.4099E-7
2.5100	0.12022	0.12022	1.1021E-7
2.5120	0.11953	0.11953	-6.2518E-9
2.5140	0.11883	0.11883	3.6349E-7
2.5160	0.11812	0.11813	1.1305E-6
2.5180	0.11741	0.11741	3.1226E-7
2.5200	0.11670	0.11670	-1.3452E-8
2.5220	0.11598	0.11598	1.2441E-7
2.5240	0.11525	0.11525	6.9633E-7
2.5260	0.11452	0.11452	5.7846E-7
2.5280	0.11378	0.11378	7.1402E-8
2.5300	0.11304	0.11304	4.8084E-9
2.5320	0.11229	0.11229	3.4840E-7
2.5340	0.11154	0.11154	8.8625E-7
2.5360	0.11078	0.11078	2.2689E-7
2.5380	0.11002	0.11002	-1.5567E-8
2.5400	0.10925	0.10925	1.2787E-7
2.5420	0.10848	0.10848	6.2572E-7
2.5440	0.10770	0.10770	4.3046E-7
2.5460	0.10692	0.10692	4.1795E-8
2.5480	0.10614	0.10614	1.4341E-8
2.5500	0.10535	0.10535	3.1596E-7
2.5520	0.10456	0.10456	6.5855E-7
2.5540	0.10376	0.10376	1.5431E-7
2.5560	0.10296	0.10296	-1.3790E-8
2.5580	0.10216	0.10216	1.2152E-7
2.5600	0.10135	0.10135	5.2712E-7
2.5620	0.10054	0.10054	2.9846E-7
2.5640	0.099728	0.099728	2.0834E-8
2.5660	0.098912	0.098912	2.0627E-8
2.5680	0.098092	0.098092	2.6422E-7
2.5700	0.097269	0.097270	4.4995E-7
2.5720	0.096444	0.096444	9.4680E-8
2.5740	0.095616	0.095616	-9.4595E-9
2.5760	0.094785	0.094785	1.0346E-7
2.5780	0.093951	0.093952	3.9907E-7
2.5800	0.093116	0.093116	1.8350E-7
2.5820	0.092278	0.092278	7.6720E-9
2.5840	0.091438	0.091438	2.1925E-8
2.5860	0.090596	0.090596	1.9154E-7
2.5880	0.089751	0.089752	2.6249E-7
2.5900	0.088906	0.088906	4.7773E-8
2.5920	0.088058	0.088058	-4.0614E-9
2.5940	0.087209	0.087209	7.1971E-8
2.5960	0.086358	0.086359	2.4068E-7
2.5980	0.085507	0.085507	8.6114E-8
2.6000	0.084653	0.084653	1.2061E-9
2.6020	0.083799	0.083799	1.6530E-8
2.6040	0.082944	0.082944	9.6703E-8
2.6060	0.082088	0.082088	9.7675E-8
2.6080	0.081231	0.081231	1.3014E-8
2.6100	0.080374	0.080374	8.2918E-10
2.6120	0.079516	0.079516	2.5606E-8
2.6140	0.078658	0.078658	5.1775E-8
2.6160	0.077800	0.077800	6.4225E-9
2.6180	0.076941	0.076941	1.2030E-10
2.6200	0.076082	0.076082	2.8539E-9
2.6220	0.075224	0.075224	-2.0967E-8
2.6240	0.074365	0.074365	-4.3528E-8
2.6260	0.073507	0.073507	-1.0506E-8
2.6280	0.072650	0.072650	3.6082E-9
2.6300	0.071793	0.071793	-3.6729E-8
2.6320	0.070937	0.070937	-1.6161E-7
2.6340	0.070081	0.070081	-5.5911E-8
2.6360	0.069227	0.069227	2.9350E-9
2.6380	0.068373	0.068373	-2.0497E-8
2.6400	0.067521	0.067521	-1.6151E-7
2.6420	0.066670	0.066670	-1.6069E-7
2.6440	0.065820	0.065820	-2.3984E-8
2.6460	0.064972	0.064972	2.7116E-9
2.6480	0.064126	0.064126	-1.1567E-7
2.6500	0.063281	0.063281	-3.4895E-7
2.6520	0.062438	0.062438	-1.0163E-7
2.6540	0.061598	0.061598	8.0631E-9
2.6560	0.060759	0.060759	-5.4633E-8
2.6580	0.059922	0.059922	-2.6366E-7
2.6600	0.059088	0.059089	3.7423E-7
2.6620	0.058257	0.058255	-1.4415E-6
2.6640	0.057428	0.057426	-1.3638E-6
2.6660	0.056601	0.056601	3.7550E-9
2.6680	0.055778	0.055776	-1.4244E-6
2.6700	0.054957	0.054957	1.9070E-7
2.6720	0.054139	0.054138	-9.1129E-7
2.6740	0.053325	0.053323	-1.7085E-6
2.6760	0.052513	0.052513	1.0585E-8
2.6780	0.051705	0.051704	-1.6255E-6
2.6800	0.050901	0.050901	-1.9960E-7
2.6820	0.050100	0.050099	-6.7660E-7
2.6840	0.049303	0.049302	-7.8703E-7
2.6860	0.048509	0.048509	-2.3461E-7
2.6880	0.047720	0.047719	-5.9375E-7
2.6900	0.046934	0.046934	-2.5319E-7
2.6920	0.046153	0.046151	-1.2668E-6
2.6940	0.045375	0.045375	-7.7491E-8
2.6960	0.044602	0.044601	-1.3247E-6
2.6980	0.043834	0.043834	-1.7426E-8
2.7000	0.043070	0.043068	-2.0039E-6
2.7020	0.042311	0.042311	3.2339E-8
2.7040	0.041556	0.041554	-2.2955E-6
2.7060	0.040806	0.040806	7.2513E-8
2.7080	0.040061	0.040059	-2.4853E-6
2.7100	0.039322	0.039322	2.7677E-8
2.7120	0.038587	0.038585	-2.0356E-6
2.7140	0.037857	0.037857	-3.9771E-9
2.7160	0.037133	0.037131	-1.7791E-6
2.7180	0.036414	0.036414	-1.4123E-7
2.7200	0.035701	0.035700	-1.4112E-6
2.7220	0.034993	0.034993	-2.7440E-7
2.7240	0.034291	0.034290	-1.1417E-6
2.7260	0.033595	0.033595	-5.1371E-7
2.7280	0.032905	0.032904	-8.4345E-7
2.7300	0.032220	0.032220	-7.6724E-7
2.7320	0.031542	0.031541	-6.0497E-7
2.7340	0.030870	0.030868	-1.1218E-6
2.7360	0.030203	0.030203	-3.8010E-7
2.7380	0.029544	0.029542	-1.5088E-6
2.7400	0.028890	0.028890	-2.0273E-7
