% Model,STAGE6~1.MPH
% Version,COMSOL 6.4.0.378
% Date,"Jun 8 2026, 16:17"
% Table,Table 5 - Volume Integration 2
% Time (s),tumor_mask (m^3),tumor mask volume (m^3),tumor disp integral (m^3)
1.83,4.18102352395752E-6,4.18102352395752E-6,1.4174969885004114E-5
1.835,4.18102352395752E-6,4.18102352395752E-6,1.3980143779036936E-5
1.8399999999999999,4.18102352395752E-6,4.18102352395752E-6,1.3800478070817473E-5
1.845,4.18102352395752E-6,4.18102352395752E-6,1.3769803033543047E-5
1.85,4.18102352395752E-6,4.18102352395752E-6,1.4006471170930992E-5
1.855,4.18102352395752E-6,4.18102352395752E-6,1.4580421380073903E-5
1.8599999999999999,4.18102352395752E-6,4.18102352395752E-6,1.5479117626714072E-5
1.865,4.18102352395752E-6,4.18102352395752E-6,1.6639724327407855E-5
1.87,4.18102352395752E-6,4.18102352395752E-6,1.7972351350550044E-5
1.875,4.18102352395752E-6,4.18102352395752E-6,1.9369684620735222E-5
1.88,4.18102352395752E-6,4.18102352395752E-6,2.0715010402892402E-5
1.885,4.18102352395752E-6,4.18102352395752E-6,2.1892889402014727E-5
1.8900000000000001,4.18102352395752E-6,4.18102352395752E-6,2.280186765790132E-5
1.895,4.18102352395752E-6,4.18102352395752E-6,2.3362763148863538E-5
1.9,4.18102352395752E-6,4.18102352395752E-6,2.352172021269655E-5
1.9000000000000001,4.18102352395752E-6,4.18102352395752E-6,2.3521720212696543E-5
1.925,4.18102352395752E-6,4.18102352395752E-6,1.8512113215356715E-5
1.9500000000000002,4.18102352395752E-6,4.18102352395752E-6,1.2824576860014978E-5
1.975,4.18102352395752E-6,4.18102352395752E-6,1.673667589957661E-5
2,4.18102352395752E-6,4.18102352395752E-6,2.195625024454405E-5
2.0250000000000004,4.18102352395752E-6,4.18102352395752E-6,2.111334078330819E-5
2.0500000000000003,4.18102352395752E-6,4.18102352395752E-6,1.6730635060868676E-5
2.075,4.18102352395752E-6,4.18102352395752E-6,1.3750961050285484E-5
2.1,4.18102352395752E-6,4.18102352395752E-6,1.7716628043787337E-5
2.125,4.18102352395752E-6,4.18102352395752E-6,2.3189156718797283E-5
2.1500000000000004,4.18102352395752E-6,4.18102352395752E-6,2.0317383522933472E-5
2.1750000000000003,4.18102352395752E-6,4.18102352395752E-6,1.3759450777241264E-5
2.2,4.18102352395752E-6,4.18102352395752E-6,1.4972443003522976E-5
