"Case","TimeS","Nodes","MeanDispMm","MaxDispMm","MeanWMm","MeanAbsWMm","MinWMm","MaxWMm","MeanVmKpa","MaxVmKpa","P95DispMm","P95AbsWMm"
"simple_softskin_control","1.78","2776","2.11098166907923","3.29473565386198","-2.09313046712321","2.09313046712321","-3.29472807088943","0","0.286537498259351","1.30794823135759","3.26457836798542","3.26439436450845"
"simple_softskin_control","1.785","2776","3.32088398406506","5.33769075159778","-3.29309944245746","3.29309944245746","-5.33768680764068","0","0.45098736882472","1.95431097399142","5.30304020727163","5.30297281216612"
"simple_softskin_control","1.79","2776","4.50306988677309","7.35885423893555","-4.46516343534965","4.46516343534965","-7.35885138977623","0","0.612793101385071","2.57777954914033","7.30821845703406","7.30797325689916"
"simple_softskin_control","1.795","2776","5.63842145984641","9.30878142699504","-5.59066102568134","5.59066102568134","-9.308779510075","0","0.768553605178649","3.17046930420057","9.24408510776021","9.24375502708999"
"simple_softskin_control","1.8","2776","6.71737608076081","11.1645254666593","-6.66024831296457","6.66024831296457","-11.1645246669751","0","0.916914199296604","3.73308722647345","11.0879205669887","11.0876019901847"
"simple_softskin_control","1.805","2776","7.7288295261627","12.9004068434767","-7.6630110187413","7.6630110187413","-12.9004067700067","0","1.05618790504922","4.26777878260499","12.81288469495","12.8123468926174"
"simple_softskin_control","1.81","2776","8.65715028786476","14.4777153569977","-8.58350581684765","8.58350581684765","-14.4777153216386","0","1.18374558382689","4.77759110748658","14.3800496634954","14.3793994455766"
"simple_softskin_control","1.815","2776","9.48548203659895","15.854114076465","-9.4050274556623","9.4050274556623","-15.8541140326432","0","1.296531594347","5.26211387597746","15.7464617329015","15.745911483039"
"simple_softskin_control","1.82","2776","10.2340083107324","17.0676588266163","-10.1475363059895","10.1475363059895","-17.0676587905926","0","1.39733347459316","5.72309446930395","16.9524336642511","16.952297211419"
"simple_softskin_control","1.825","2776","10.8844341401076","18.0781296503458","-10.7929161589797","10.7929161589797","-18.0781296247999","0","1.4834008390761","6.14837715597142","17.9583914955162","17.9582508950042"
"simple_softskin_control","1.83","2776","11.4288851435611","18.8773610867723","-11.3334187870375","11.3334187870375","-18.8773610758221","0","1.55392688560509","6.52344738180336","18.7564930588352","18.7560583985351"
"simple_softskin_control","1.835","2776","11.8832805537091","19.509080989758","-11.7848542660008","11.7848542660008","-19.5090809819269","0","1.61189212072655","6.84936952953202","19.3888777238604","19.3882697564554"
"simple_softskin_control","1.84","2776","12.2444613769938","19.9812947774819","-12.1441855304055","12.1441855304055","-19.9812946006724","0","1.65760710655642","7.1226597677184","19.8640963426612","19.8638721926923"
"simple_softskin_control","1.845","2776","12.5185936993499","20.3194920107612","-12.4175839221509","12.4175839221509","-20.3194913348178","0","1.69232939847843","7.34686130564548","20.1912815909919","20.1909484951243"
"simple_softskin_control","1.85","2776","12.712093737557","20.5351766912215","-12.6114392878807","12.6114392878807","-20.5351753947665","0","1.71669544080034","7.52424216925776","20.3970066715428","20.3955608858494"
