roi,time_s,n_points,mean_abs_delta_w_mm,p95_abs_delta_w_mm,max_abs_delta_w_mm,mean_abs_delta_disp_mag_mm,p95_abs_delta_disp_mag_mm,max_abs_delta_disp_mag_mm,mean_abs_delta_vm_kpa,p95_abs_delta_vm_kpa,max_abs_delta_vm_kpa
central_xz_radius_25mm,1.73,971,1.1709807764414553e-13,1.231653667943533e-13,1.3227266504323154e-13,1.1817022071934696e-13,1.2685165418080402e-13,1.3639263329867646e-13,2.850482902697405e-13,8.487859304295853e-13,5.984020390314982e-12
central_xz_radius_25mm,1.735,971,1.6714310805646874e-13,1.74122868901172e-13,1.947227101783966e-13,1.6837704402023158e-13,1.8008598084984229e-13,1.945058697438995e-13,3.1422965842810263e-13,9.094947017729282e-13,3.131162884528749e-12
central_xz_radius_25mm,1.74,971,2.0484520576530143e-13,2.1185310450366757e-13,2.3462135012586316e-13,2.0606272795776095e-13,2.1716569514884654e-13,2.3462135012586316e-13,3.7279523969472657e-13,1.1181384707015239e-12,5.485617293743417e-12
central_xz_radius_25mm,1.745,971,2.216220898868557e-13,2.2876665839444144e-13,2.467644144577008e-13,2.2277797669319659e-13,2.327782064326378e-13,2.47198095326695e-13,4.324288962154062e-13,1.2460077414289118e-12,8.006054486031644e-12
central_xz_radius_25mm,1.75,971,2.133803668430349e-13,2.200930410145574e-13,2.3310346708438345e-13,2.1425465139613083e-13,2.2236986557677696e-13,2.3332030751888055e-13,4.3481243048249265e-13,1.355665801838768e-12,8.04584487923421e-12
central_xz_radius_25mm,1.755,971,1.8002646697157917e-13,1.8453120975703285e-13,1.936385080059111e-13,1.8028060128101038e-13,1.8583225236401546e-13,1.938553484404082e-13,3.4765643162096467e-13,1.1585257198021282e-12,5.717765816370956e-12
central_xz_radius_25mm,1.76,971,1.5277491695910162e-13,1.5742615544489524e-13,1.6024508109335756e-13,1.533922757450617e-13,1.5894403848637495e-13,1.6512399086954233e-13,2.904309222457621e-13,9.493987818132154e-13,3.89809429179877e-12
central_xz_radius_25mm,1.765,971,1.4789299240859583e-13,1.5173409403934635e-13,1.5579985218616699e-13,1.4818503471365615e-13,1.52845401266144e-13,1.5607090272928836e-13,1.8098972395176656e-13,5.351097343009315e-13,2.0500010577961803e-12
central_xz_radius_25mm,1.77,971,1.4953057315645087e-13,1.5369751641108181e-13,1.6296913905172739e-13,1.432235117467023e-13,1.5208476567950963e-13,1.6294881026099328e-13,1.0622945388655e-13,2.9021052228017656e-13,8.842562237987294e-13
central_xz_radius_25mm,1.775,971,1.5556562097016994e-13,1.5916087892087205e-13,1.7580338226852454e-13,1.5545332062671191e-13,1.5937771935536915e-13,1.7580338226852454e-13,1.2651298454893004e-13,3.0493652047880457e-13,1.2053078535245732e-12
central_xz_radius_25mm,1.78,971,1.6357104711929223e-13,1.6750923564901044e-13,1.8669961410200386e-13,1.6377046885771232e-13,1.6837659738699884e-13,1.8691645453650096e-13,1.7755066212322677e-13,4.659455044020433e-13,2.3223947209771723e-12
central_xz_radius_25mm,1.785,971,1.7119317821098924e-13,1.7564075194265172e-13,1.9851741778209586e-13,1.7154311534884398e-13,1.7672495411513722e-13,1.9851741778209586e-13,2.1946386760762563e-13,6.112941264291295e-13,3.995182851213031e-12
