roi,time_s,n_points,mean_abs_delta_w_mm,p95_abs_delta_w_mm,max_abs_delta_w_mm,mean_abs_delta_disp_mag_mm,p95_abs_delta_disp_mag_mm,max_abs_delta_disp_mag_mm,mean_abs_delta_vm_kpa,p95_abs_delta_vm_kpa,max_abs_delta_vm_kpa
central_xz_radius_25mm,1.0,971,8.833774266411742e-05,9.181859526364612e-05,0.0015301644282206261,8.73283914654783e-05,9.283764146111526e-05,0.0014902153820141317,0.06862507188516875,0.4614853354218342,2.0910352164151083
central_xz_radius_25mm,1.025,971,0.00011546232466451412,0.00012591387980485577,0.0013910325109382782,0.00011706404518184092,0.0001353296324921576,0.0013484688497801545,0.07146395683641138,0.4803536073242144,2.1749530019861836
central_xz_radius_25mm,1.05,971,0.00011324095242631844,0.00011885253741253377,0.0015805888365734086,0.00011269636957743167,0.00012114260353082544,0.0015377824089989403,0.07028420468184773,0.4711469553926322,2.143598141808587
central_xz_radius_25mm,1.075,971,0.00022055438095168958,0.0002256653372772078,0.001612570553616733,0.00021996893107391682,0.00022677316930471043,0.001574372015861105,0.06584878194530305,0.44297118382018696,2.0054182259957227
central_xz_radius_25mm,1.1,971,0.0002880564314908342,0.0002983963277340077,0.0016704934466650959,0.00028847099012676463,0.0003000188540864309,0.0016332338191871187,0.06614013506643683,0.4439027702510825,2.014159962040629
central_xz_radius_25mm,1.125,971,0.0001223681239193266,0.00012656311029800651,0.0015849024935393231,0.00012209888366036887,0.00012699977132045112,0.0015420066772392667,0.07035263315422519,0.4715295092175472,2.1454998704066273
central_xz_radius_25mm,1.15,971,0.0002194751624471596,0.00022556118058200333,0.001724727645331832,0.0002183898664222756,0.00022665369316804407,0.0016832388066664351,0.0710100725060353,0.47818110758299737,2.1635862826502272
central_xz_radius_25mm,1.175,971,0.00013345700239000114,0.00013724118462727156,0.0015690919782200552,0.00013295081765725972,0.0001376407105339872,0.0015280041871278474,0.06899966813665623,0.4633779194712936,2.1039745372484586
central_xz_radius_25mm,1.2,971,0.0003835988069421339,0.00039127659457773023,0.0017579173694432307,0.00038298452414716497,0.0003934053154747673,0.001718714520990497,0.0658962718321301,0.44200849106497025,2.0064813075733423
central_xz_radius_25mm,1.205,971,9.857994307176653e-05,0.00010403797386852702,0.0014743640990196039,9.770597813217751e-05,0.0001050227590997533,0.0014356299980183146,0.06572252150916852,0.4407146667610091,2.0008809301457933
central_xz_radius_25mm,1.21,971,0.00028038706928390907,0.00028617538929852013,0.0016596717159812237,0.0002796102841223831,0.0002870918486132072,0.0016216057443767945,0.06560835387838498,0.4398152639827977,1.9992159354972656
central_xz_radius_25mm,1.215,971,1.6117364005968252e-05,2.9451839598636925e-05,0.0013864089893540245,1.785338560856942e-05,3.8866699351991496e-05,0.001348505252363793,0.06580937496330326,0.44097701706565906,2.0042420855185292
central_xz_radius_25mm,1.22,971,0.00016821616444892307,0.0001721051957348247,0.0015668278047441773,0.00016757805270819405,0.00017254687781267236,0.0015290517759902929,0.06616268344129637,0.4436276035161725,2.017386634663053
central_xz_radius_25mm,1.225,971,0.00022226085321203567,0.00022849314520881694,0.001636699508625241,0.00022195813908678817,0.00022950804277888093,0.0015987066931517045,0.06669018926343159,0.44736512449991594,2.0342412793660243
central_xz_radius_25mm,1.23,971,9.883750844564735e-05,0.00010281586129354259,0.0015271322603756937,9.797205400526245e-05,0.0001035516039651907,0.0014883086753660936,0.06751784994411268,0.453466976361869,2.0582887762500253
central_xz_radius_25mm,1.235,971,0.00010218328001969955,0.00010687982111737097,0.0015484163518857813,0.00010154747648570945,0.00010701831200496566,0.001508757130207379,0.06836331854856678,0.45965534184256057,2.0836078097923934
central_xz_radius_25mm,1.24,971,0.00011165913722105492,0.00011570417841845135,0.0015728444973332062,0.0001107276753812912,0.00011630548186558967,0.0015322738245106444,0.06927244916806156,0.4662465799013594,2.1104315604719637
central_xz_radius_25mm,1.245,971,7.42323586339666e-05,7.8285494290245e-05,0.0015471640101944947,7.351254753636888e-05,7.974054311733064e-05,0.0015059687592080054,0.07009782126593284,0.472045201210673,2.134956461206777
central_xz_radius_25mm,1.25,971,0.00013673160397531373,0.0001446191987134523,0.0016215351227991982,0.00013496090735744774,0.0001448614955668233,0.0015797610831052092,0.07089833028831324,0.4774518514253882,2.1581771724373446
central_xz_radius_25mm,1.255,971,8.800019704655596e-05,9.675088731976415e-05,0.0014177385403782439,8.882788768587103e-05,0.00010186451673659114,0.0013759470101500602,0.07149709289203056,0.48112670598201907,2.177680025275743
central_xz_radius_25mm,1.26,971,0.00030958430982621883,0.0003135888616474271,0.0018131656590271092,0.0003077436637835544,0.00031363605545943647,0.001771076922000691,0.072164264308277,0.4849964167255134,2.1990609094821387
central_xz_radius_25mm,1.265,971,0.0002430580103786082,0.00024898151324763244,0.0017610745521642185,0.0002421255058903418,0.00024941865471432047,0.0017189158645581834,0.07294561961468957,0.48922587070361667,2.2235972521997502
central_xz_radius_25mm,1.27,971,0.000333290360144304,0.00034651159209401865,0.0012249808364053413,0.0003342219589876783,0.0003508853386958912,0.0011825505632358062,0.07431240054509744,0.49724450012706756,2.2631191049983075
central_xz_radius_25mm,1.275,971,0.00034656306973719647,0.00036130915121454846,0.0012599809475666475,0.00034817908692896826,0.0003667691474142868,0.0012170645039481613,0.07634811179178394,0.5103462356184052,2.324825306727345
central_xz_radius_25mm,1.28,971,0.00024460579098416804,0.00025717235204976777,0.0014296968014605553,0.0002465161507959813,0.00026575917348682296,0.0013862478875168588,0.07912674039980747,0.5290502490708024,2.409698696867646
central_xz_radius_25mm,1.285,971,4.694941894427691e-05,6.11469802510884e-05,0.001718686755916403,4.868169508218054e-05,6.799489904170224e-05,0.0016744974768168053,0.08277557592175111,0.5540750107335514,2.5211459554039988
central_xz_radius_25mm,1.29,971,0.0002060580794968582,0.0002122399640563065,0.0020593491750950897,0.00020597635864336142,0.0002136388333991504,0.0020139200481834006,0.08744066866357049,0.5860445314351899,2.6627868956996026
central_xz_radius_25mm,1.295,971,0.00037238326355895743,0.00038429739110390493,0.0023534259342913866,0.0003735612211065312,0.00039004744732066415,0.0023057721618372634,0.09326478445197191,0.6255195930116288,2.8380969960674376
central_xz_radius_25mm,1.3,971,0.00046665934957266944,0.0005069363986777257,0.0016910498910763586,0.0004737481679558939,0.0005305073447888983,0.001637829882040337,0.10081708785636369,0.6756545309202743,3.055332781171882
central_xz_radius_25mm,1.305,971,0.00011383835037932918,0.00014175957757742857,0.0022179899237893125,0.00011953635508818284,0.00017223793636559487,0.00215910963736847,0.10888333193878078,0.7309436984047634,3.306732980296224
central_xz_radius_25mm,1.31,971,0.0001485202108780096,0.00016146064364544813,0.0026363519843196,0.00014582263768280352,0.00016057393790319674,0.0025704526360643964,0.11773247162004025,0.7913510387089586,3.5793567889167863
central_xz_radius_25mm,1.315,971,0.00013040845154942444,0.00014034276619090055,0.002804692206433146,0.00012931150834627166,0.0001402163605844324,0.002730344847417382,0.12717388759897566,0.8554172793322473,3.863711223690738
central_xz_radius_25mm,1.32,971,0.00015584421047166173,0.00016991629413340079,0.0027371660788972144,0.00015871287859142288,0.00018819206387514498,0.002652899704106912,0.13695048250196937,0.9212390667234958,4.154096376646874
central_xz_radius_25mm,1.325,971,0.00048491329694465524,0.0005195782522642543,0.0025849860144609715,0.0004918480474943855,0.0005465252151926579,0.002489232385065668,0.1468280304281223,0.9863033435312145,4.449198688022001
central_xz_radius_25mm,1.33,971,0.0010842624413762417,0.0011771990716031612,0.0023880607634661766,0.001101663442998942,0.0012346310402748528,0.0024778020102592807,0.15639575164058886,1.0462798733818994,4.735277057635405
central_xz_radius_25mm,1.335,971,0.0015239462632061164,0.0016051987193777678,0.0048108675058432596,0.0015361286496724297,0.0016497602256713116,0.0047024869652065315,0.16241317315395615,1.095921441596007,4.957808653712793
central_xz_radius_25mm,1.34,971,0.001446168929587987,0.001544535583802159,0.004805576553355492,0.0014613900693152854,0.0016029201902779955,0.004694836410695444,0.16574768104549178,1.117624735286035,5.066485065621971
central_xz_radius_25mm,1.345,971,0.0012980644412859909,0.0013781414439739507,0.004701387668555428,0.0013095977387391228,0.0014237724347697552,0.0045923855000384525,0.16528342340208507,1.1033983466340396,5.058256520371801
central_xz_radius_25mm,1.35,971,0.0011078988209666525,0.001160240264441205,0.004520899540333759,0.001112954432156259,0.0011848132492019159,0.004418911146568741,0.16239407051946744,1.0900030099435571,4.968721822433796
central_xz_radius_25mm,1.355,971,0.0009255716271748416,0.0009500809750374352,0.00431063382883793,0.0009245385981718223,0.0009546772185447562,0.004217535151481225,0.1585178773494485,1.069689281012671,4.834422367865939
central_xz_radius_25mm,1.36,971,0.0007372142539203683,0.0007592016137199925,0.004070283382298645,0.0007313599112302238,0.0007584452637299753,0.0039838879229391055,0.1545368308312177,1.047279444987589,4.6926282197827
central_xz_radius_25mm,1.365,971,0.0005622898569134933,0.0006047005592603114,0.0038308533553202406,0.000555220810751728,0.0006026028100368508,0.003747817686031857,0.15146407905703646,1.0266996707372482,4.585310052998995
central_xz_radius_25mm,1.37,971,0.0004475630956243681,0.0004904590500298851,0.003632978868010027,0.000441059282429544,0.0004906177997151574,0.0035504701525598467,0.14920290087025598,1.008523281549515,4.52289596151161
central_xz_radius_25mm,1.375,971,0.00038888722462987474,0.00041875244976511544,0.0034720426783279093,0.0003839642317128805,0.00041814049265989986,0.0033883765082828865,0.14742559744616873,0.99160363456204,4.4830504933552096
central_xz_radius_25mm,1.38,971,0.00022182417064520223,0.00023700946384132282,0.003211472776184013,0.00022116925387859998,0.00024328588335911783,0.003126860874428164,0.14587806238296444,0.9896956732907494,4.441732338739511
central_xz_radius_25mm,1.385,971,0.00019487456687191843,0.00021010507577192208,0.003131116349119542,0.00019605119141469406,0.0002219501650450699,0.0030457580605025222,0.14404145206471144,0.9844405500509575,4.390004322248329
central_xz_radius_25mm,1.39,971,0.00017875274175169732,0.00018811116615303006,0.003092462145577561,0.00017881356402281407,0.00019633607167010916,0.003007789022816884,0.1422651772235776,0.9792434884354078,4.339634099134134
central_xz_radius_25mm,1.395,971,0.00013445611237370022,0.00014598817956769372,0.0030449779405035404,0.00013300114860933761,0.00014766379613376582,0.00296180217103717,0.14121525231943943,0.9641852949674337,4.303200415830599
central_xz_radius_25mm,1.4,971,0.00011727374844161137,0.000143590689048647,0.0028520344702012354,0.00012082208739353858,0.0001559948574515746,0.002770080585030865,0.14124475803642908,0.9529665400700802,4.296022035117998
central_xz_radius_25mm,1.405,971,0.0001542591808761328,0.00018487592877208456,0.002865979987723248,0.00015782815332130674,0.00020465087411736596,0.0027843328358964636,0.14229172150653296,0.9543464751417701,4.321720423413633
central_xz_radius_25mm,1.41,971,0.00019691119127215464,0.00022947119282176742,0.002880570517322864,0.00020041075568538695,0.00024072720678815218,0.00279757876519085,0.14431587026868767,0.9704721326807744,4.380939332395654
central_xz_radius_25mm,1.415,971,0.00013254250626786339,0.00015106907767011707,0.0029950270226640485,0.0001356158573471203,0.0001659793024836112,0.002909540958542442,0.14698495790554633,0.9886856535408279,4.467874748396167
central_xz_radius_25mm,1.42,971,0.00010741114455552416,0.00013210110460159727,0.003082695348165937,0.00011074314362954818,0.00015030601993636442,0.002995932505234916,0.1499126773513985,1.006818908829855,4.566994830194956
central_xz_radius_25mm,1.425,971,6.552367187068183e-05,9.715752998830374e-05,0.0032045230316420092,6.97187105155698e-05,0.00012639630110134262,0.0031179849697138273,0.15294334046521404,1.0263673757458605,4.663685502716686
central_xz_radius_25mm,1.43,971,7.859985721967152e-05,9.923505147691261e-05,0.003377379840666453,7.650743766351065e-05,0.00010481148211968425,0.0032884597997258,0.15599517119609907,1.0479106744352589,4.756228820327187
central_xz_radius_25mm,1.435,971,0.00010970607481201587,0.00014129472385073644,0.003292003401206625,0.00011554071441879572,0.00016777293276480296,0.0031969826457325934,0.15893965577154523,1.069344964011743,4.843451596394807
central_xz_radius_25mm,1.44,971,0.00011023991104594214,0.00013217691560100248,0.0035209500723731163,0.00010705819088435309,0.00013525730830103375,0.0034217179601461756,0.1613046214637496,1.0873982795344976,4.915693140839444
central_xz_radius_25mm,1.445,971,0.0004096008536321882,0.00042327196382238585,0.0038524666417204256,0.0004071636832569221,0.0004241149694503635,0.0037525125457307795,0.16278634955052412,1.0993367874464475,4.963000082179587
central_xz_radius_25mm,1.45,971,0.000844152106947474,0.0008656628332531953,0.004270912437100496,0.0008435742950606381,0.0008766111598708902,0.004171189599785387,0.16324143817586884,1.1025805123123487,4.976046163258068
central_xz_radius_25mm,1.455,971,4.989254387652631e-05,7.791550975808428e-05,0.003361556234814621,5.271624935246845e-05,9.749016906647825e-05,0.0032600877911941745,0.1622552566404204,1.0952961747625585,4.943009008307266
central_xz_radius_25mm,1.46,971,0.0004201027001076214,0.0004327514205228894,0.0037174950781471844,0.00042000597103529074,0.00044265289730373303,0.0036157112324472843,0.1595466956060695,1.07395719056918,4.861514243775055
central_xz_radius_25mm,1.465,971,0.0008656359274628952,0.0008915310981943286,0.0040672233302440144,0.000866244395000334,0.0008983156662973994,0.00396808533203747,0.15528069961733157,1.041974994473806,4.7327647638372605
central_xz_radius_25mm,1.47,971,0.001246743222772677,0.0012788228026636324,0.004324564603615591,0.0012485756945601275,0.0012907849651728684,0.004229735532886893,0.14958577813171797,1.0019380781266942,4.556027454869911
central_xz_radius_25mm,1.475,971,0.00026015615529123126,0.0002700846600690171,0.003190590542758928,0.0002588744614292201,0.00027024798506143644,0.0030987468004322477,0.14244031866127477,0.9557818508785177,4.336253259107332
central_xz_radius_25mm,1.48,971,0.0004407000705946258,0.00045712737067708786,0.003209842440705414,0.0004377286889597073,0.0004575388197749705,0.0031229902430676,0.13454372584445243,0.9041236938292052,4.0955572480851785
central_xz_radius_25mm,1.485,971,0.0003975859327344822,0.00041527413263903537,0.0029943819773942462,0.00039554847479855015,0.000415318673341325,0.002915868012999187,0.12623944212609517,0.8496242191917658,3.844240027314921
central_xz_radius_25mm,1.49,971,0.0005090645822390351,0.0005226114253259299,0.00293853402185372,0.0005065216557259306,0.0005203362584390095,0.0028671954772092195,0.11760953959613553,0.7909359328527064,3.5834328865321665
central_xz_radius_25mm,1.495,971,0.00033601374951525436,0.00035368648228792723,0.002595238977450877,0.000336833036459496,0.0003608147598199718,0.0025297702236654757,0.10883237413025715,0.7279027314197726,3.315800498987971
central_xz_radius_25mm,1.5,971,5.014894654461406e-05,6.784397106043491e-05,0.0020783803638983397,5.1404942401337886e-05,7.37014418674374e-05,0.0020194489663031764,0.10017689859028805,0.6719696744440922,3.0536519677157368
central_xz_radius_25mm,1.505,971,0.0005933037438524925,0.000635952742853059,0.0013966261672559294,0.0005981875512492974,0.0006403662407058336,0.0013881358267610333,0.09265372672635777,0.6218399748524601,2.810779639089724
