time_s,mean_delta_w_mm,mean_abs_delta_w_mm,p95_abs_delta_w_mm,p99_abs_delta_w_mm,max_abs_delta_w_mm,min_delta_w_mm,max_delta_w_mm,mean_abs_delta_disp_mag_mm,p95_abs_delta_disp_mag_mm,max_abs_delta_disp_mag_mm,mean_delta_vector_mm,p95_delta_vector_mm,max_delta_vector_mm,mean_abs_delta_vm_kpa,p95_abs_delta_vm_kpa,max_abs_delta_vm_kpa
1.28,-0.00015438311549048427,0.00030276555063335714,0.0009030612329084069,0.0021705919720096094,0.006451598894039677,-0.0028034853678210285,0.006451598894039677,0.00035488054788754384,0.0011124857448806154,0.006792283524441431,0.0004488231999711881,0.0012609764511240594,0.009680543134845307,0.03790697801204865,0.1138700516811423,2.409698696867646
1.285,-1.756036528680392e-06,0.0001868826207539128,0.0008697913697117312,0.0022923718632986557,0.006839822459834796,-0.002921022719783162,0.006839822459834796,0.00023817768193014563,0.001112779867828528,0.0072343770722534725,0.00039101175929876614,0.0013049253428313468,0.010286656166123242,0.039679362678493715,0.12005570049449985,2.5211459554039988
1.29,0.0001634169291400715,0.0002695991714630609,0.0009286921935343703,0.0024531922885231193,0.007256512594074961,-0.003085572416515448,0.007256512594074961,0.00030979647807537295,0.0012059630931478959,0.0076944248125188595,0.0004436470511384961,0.001346994752974332,0.01093855914442895,0.04193345602472562,0.1270825026574794,2.6627868956996026
1.295,0.0002660946373214011,0.00036841993963119114,0.0009918981640948676,0.0026065735462825405,0.007691868570121796,-0.0032751621701648413,0.007691868570121796,0.00040956000953483413,0.0012815399168672823,0.008145417367481922,0.0005338869112929934,0.0014382929978560195,0.011606352578056593,0.04468230188958137,0.13429370439403157,2.8380969960674376
1.3,-0.0002462346731018531,0.0004432880329058344,0.0010858362360302218,0.0026993570410989843,0.008114141095626757,-0.003501412184399018,0.008114141095626757,0.0005184085523365518,0.0013476169003900176,0.008550341329287498,0.00065004768627787,0.0015616653911387358,0.012272097268059794,0.04819701277824312,0.1417555713808673,3.055332781171882
1.305,5.5927469410191164e-06,0.00025058480026516266,0.0010988438904245815,0.002938289440555244,0.008579013197026954,-0.003694575923164135,0.008579013197026954,0.0003176806048463836,0.00139065509035547,0.009053895501544632,0.0005224090226399405,0.00162153943826792,0.013005810298859085,0.05148091138791124,0.1505347120968971,3.306732980296224
1.31,0.0001569853920958424,0.00028622644023662097,0.001155207116041441,0.0030769837827413007,0.009035769963345805,-0.003888107810804569,0.009035769963345805,0.00033413166718831533,0.001472203853655477,0.009545355479218887,0.0005416234141720018,0.0016835218150535363,0.013734915221158151,0.05517885003412599,0.1602059774231092,3.5793567889167863
1.315,0.00013123320734924324,0.00027831128977968993,0.001195865646323864,0.0032247228183021354,0.00948026386831958,-0.004080919845730782,0.00948026386831958,0.00033660590382263877,0.001535053852051054,0.0100051993669136,0.0005590154920072596,0.0017626994005870325,0.014436269503480897,0.05907666474536443,0.1701524263431086,3.863711223690738
1.32,-4.383496608403689e-05,0.00031487373462977966,0.0012706431040048574,0.0033579328413207436,0.009907733103980054,-0.0042741044175373,0.009907733103980054,0.0003944137720601327,0.0016041146326713472,0.010426581299167775,0.0006093403735301157,0.0018825990654484828,0.015094520633149495,0.06311362315546983,0.18117197118012768,4.154096376646874
1.325,-0.0002591398303783495,0.0005110721776314938,0.0013864873641437985,0.0034689067068277217,0.010299851667867704,-0.0044683973294886315,0.010299851667867704,0.0006029118072438724,0.0017166650057364044,0.010813407076380559,0.00077500719479987,0.00202363901597302,0.01569918378680751,0.06721682451118546,0.1905885231733664,4.449198688022001
